"","diameter","crown_cover","tree_density","ba_ha","palmer_drought_sensitive_index","climate_water_deficit","precipitation_accumulation","min_temperature","max_temperature","wind_speed_at_10m","slope.map_nepal","elevation_nepal","aspect","soil_moisture","soil_depth","penetration_depth","organic_layer_type","organic_layer_thickness","dia_growth_cm_yr"
"86",42.2,46,489.03,28.4280293835272,-8.685714286,558.3142857,103.5714286,166.0571429,289,148.5714286,13.20256,997,0,824.6285714,3,4,0,0,0.3
"87",28.2,46,489.03,28.4280293835272,-8.685714286,558.3142857,103.5714286,166.0571429,289,148.5714286,13.20256,997,0,824.6285714,3,4,0,0,0.25
"88",42.9,46,489.03,28.4280293835272,-8.685714286,558.3142857,103.5714286,166.0571429,289,148.5714286,13.20256,997,0,824.6285714,3,4,0,0,0.12
"89",39.4,46,489.03,28.4280293835272,-8.685714286,558.3142857,103.5714286,166.0571429,289,148.5714286,13.20256,997,0,824.6285714,3,4,0,0,0.3
"90",31.6,46,489.03,28.4280293835272,-8.685714286,558.3142857,103.5714286,166.0571429,289,148.5714286,13.20256,997,0,824.6285714,3,4,0,0,0.23
"91",36.6,46,489.03,28.4280293835272,-8.685714286,558.3142857,103.5714286,166.0571429,289,148.5714286,13.20256,997,0,824.6285714,3,4,0,0,0.32
"92",22.8,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.32
"93",28.4,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.23
"94",14.6,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.07
"95",34.2,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.3
"96",26.9,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.22
"97",52.1,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.35
"98",31.7,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.42
"99",28.9,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.27
"100",29.9,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.18
"101",27.5,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.23
"102",33.2,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.36
"103",42.8,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.03
"104",35.8,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.28
"105",32.5,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.25
"106",21.6,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.23
"107",20.2,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.33
"108",26.6,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.32
"109",29.8,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.2
"110",23.2,70,824.59,28.7330058363916,-57.2,599.2571429,95.85714286,167.5714286,292.0285714,150.6,13.20256,997,0,813.4857143,4,9,0,0,0.22
"111",43.2,68,683.76,24.4240149770626,-55.51428571,586.0571429,96.17142857,165.8,289.5428571,150.4285714,13.20256,997,0,814.6857143,4,15,0,0,0.05
"112",49.1,68,683.76,24.4240149770626,-55.51428571,586.0571429,96.17142857,165.8,289.5428571,150.4285714,13.20256,997,0,814.6857143,4,15,0,0,0.17
"113",25.7,68,683.76,24.4240149770626,-55.51428571,586.0571429,96.17142857,165.8,289.5428571,150.4285714,13.20256,997,0,814.6857143,4,15,0,0,0.13
"114",23.4,68,683.76,24.4240149770626,-55.51428571,586.0571429,96.17142857,165.8,289.5428571,150.4285714,13.20256,997,0,814.6857143,4,15,0,0,0.2
"115",20.6,68,683.76,24.4240149770626,-55.51428571,586.0571429,96.17142857,165.8,289.5428571,150.4285714,13.20256,997,0,814.6857143,4,15,0,0,0.18
"116",45.2,68,683.76,24.4240149770626,-55.51428571,586.0571429,96.17142857,165.8,289.5428571,150.4285714,13.20256,997,0,814.6857143,4,15,0,0,0.3
"117",32.4,68,683.76,24.4240149770626,-55.51428571,586.0571429,96.17142857,165.8,289.5428571,150.4285714,13.20256,997,0,814.6857143,4,15,0,0,0.18
"118",32.1,68,683.76,24.4240149770626,-55.51428571,586.0571429,96.17142857,165.8,289.5428571,150.4285714,13.20256,997,0,814.6857143,4,15,0,0,0.32
"119",49.8,71,296.44,12.2611612752314,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,1.34
"120",52.9,71,296.44,12.2611612752314,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.64
"121",55.9,71,296.44,12.2611612752314,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.68
"122",52,71,296.44,12.2611612752314,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.52
"123",60.3,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.72
"124",40.1,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.72
"125",32,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.24
"126",48.9,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.58
"127",41.6,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.84
"128",44.9,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.6
"129",40.4,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.7
"130",43.2,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.46
"131",36.9,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.28
"132",29.8,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.1
"133",49.7,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.66
"134",35.9,76,549.12,25.7797152351292,-31.2,903,71.16666667,202.8,339.4666667,146.7666667,0.25276,195,1,954.8,5,30,1,1,0.44
"135",41.4,84,304.4,13.9772007503126,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,1,0.6
"136",50.8,84,304.4,13.9772007503126,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,1,1.36
"137",55.5,84,304.4,13.9772007503126,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,1,0.38
"138",50,84,304.4,13.9772007503126,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,1,0.16
"139",51.2,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.82
"140",25.8,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.02
"141",31.5,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.14
"142",59.1,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.76
"143",34.8,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.04
"144",51.5,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.3
"145",39.5,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.62
"146",38.4,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.28
"147",44,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.26
"148",34.1,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,2.74
"149",8.5,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,2.56
"150",37.4,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.58
"151",44.5,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.58
"152",52.6,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.52
"153",49.5,88,205.4,24.2154555901922,-22.63333333,905.2666667,73.26666667,204.2333333,341.0666667,144.7666667,0.25276,195,1,950.6,5,30,1,0,0.42
"154",76,66,47.76,15.5044005675351,-25.93333333,914.3,76.06666667,200.8333333,338.0666667,145.2,0.43631,219,1,811.6,5,28,1,2,0.64
"155",79.5,66,47.76,15.5044005675351,-25.93333333,914.3,76.06666667,200.8333333,338.0666667,145.2,0.43631,219,1,811.6,5,28,1,2,0.1
"156",53.7,66,47.76,15.5044005675351,-25.93333333,914.3,76.06666667,200.8333333,338.0666667,145.2,0.43631,219,1,811.6,5,28,1,2,0.6
"157",72,66,47.76,15.5044005675351,-25.93333333,914.3,76.06666667,200.8333333,338.0666667,145.2,0.43631,219,1,811.6,5,28,1,2,0.46
"158",83.5,62,47.76,16.5999481302603,-25.93333333,914.3,76.06666667,200.8333333,338.0666667,145.2,0.43631,219,1,811.6,5,30,0,1,1
"159",47.3,62,47.76,16.5999481302603,-25.93333333,914.3,76.06666667,200.8333333,338.0666667,145.2,0.43631,219,1,811.6,5,30,0,1,0.96
"160",80,62,47.76,16.5999481302603,-25.93333333,914.3,76.06666667,200.8333333,338.0666667,145.2,0.43631,219,1,811.6,5,30,0,1,0.7
